94,02
87,15
99,87
61,57
142,82
105,18
87,15
61,08
131,16
97,16
129,85
133,67
74,83
70,11
159,52
90,18
121,03
86,13
131,23
70,86
62,67
74,62
89,10
105,36
76,01
101,32
62,55
80,12
67,72
63,93
90,83
84,72
66,90
114,66
64,52
81,17
130,37
66,86
98,96
61,59
84,27
75,44
67,39
69,68
80,79
91,31
67,52
92,59
103,26
77,34
91,94
73,88
64,33
96,55
89,91
63,52
166,77
61,89
64,01
116,64
98,40
79,38
71,43
92,26
70,99
74,03
134,95
72,08
104,34
85,52
70,36
103,46
148,80
81,42
100,37
80,42
72,26
67,14
62,97
78,16
93,86
79,15
99,52
60,97
76,96
62,31
67,72
70,63
93,49
69,47
61,77
125,96
103,87
66,26
60,60
104,95
80,04
68,66
95,31
86,12
65,55
103,39
69,31
71,43
72,07
71,86
64,67
82,78
64,42
222,16
92,22
97,35
80,71
94,44
127,29
77,29
66,01
126,95
78,09
61,34
65,09
73,89
62,26
73,63
71,67
66,73
69,66
82,33
72,33
126,25
66,08
111,22
108,96
83,63
72,69
107,74
159,85
65,44
64,48
82,53
67,62
63,28
163,59
89,81
77,66
69,70
73,73
61,80
123,45
73,24
77,11
89,60
73,74
69,66
60,02
63,80
70,42
104,24
92,83
68,78
133,66
88,80
109,61
75,20
76,62
64,36
66,14
106,77
75,80
90,46
71,31
99,68
78,16
70,06
88,87
60,08
69,87
63,65
93,49
75,17
70,91
86,34
67,43
85,18
122,30
108,43
77,35
63,22
63,41
72,89
67,30
60,14
61,81
72,03
60,96
87,86
92,25
77,16
79,92
73,35
69,51
87,02
97,45
89,27
89,84
88,08
75,65
62,68
68,69
61,89
95,27
77,81
71,30
102,13
60,11
103,00
232,34
120,38
84,28
66,01
60,67
76,32
65,85
81,78
98,01
70,37
74,88
75,43
80,46
68,44
79,09
91,63
87,06
87,80
84,85
80,76
90,55
183,13
84,47
227,94
63,36
175,58
67,54
80,15
139,87
64,78
69,22
78,00
70,79
65,67
62,74
67,38
139,41
103,85
97,39
71,69
152,69
97,12
112,65
65,09
70,48
72,80
69,81
88,56
66,25
83,66
92,22
84,91
90,48
60,89
75,50
73,70
68,22
85,09
66,08
72,55
148,14
96,15
95,22
147,69
74,99
97,19
66,74
156,11
80,67
132,27
99,96
75,04
121,35
187,47
78,82
91,06
68,87
91,07
60,46
65,73
120,42
66,61
63,41
127,61
122,87
103,61
76,65
62,28
65,87
67,35
68,35
88,24
60,02
90,03
77,01
74,64
71,03
124,68
60,06
88,39
78,25
112,90
64,02
70,16
129,46
74,81
119,43
73,59
67,10
60,56
91,12
70,97
102,84
60,82
68,45
98,09
82,30
103,02
63,65
78,50
60,73
78,92
81,44
62,52
101,61
69,68
62,56
84,24
144,04
85,45
100,41
125,45
63,00
117,11
102,23
66,16
61,17
74,23
61,51
67,99
80,71
72,67
110,10
88,95
78,87
77,17
61,38
184,48
64,41
100,82
75,81
83,38
70,74
64,83
66,89
114,40
61,29
62,27
70,56
114,38
81,36
91,76
99,13
71,32
67,27
118,32
89,16
69,80
112,75
124,51
92,37
82,06
71,00
93,35
73,32
101,65
158,53
66,38
80,76
69,26
67,37
73,65
61,10
99,24
60,99
97,93
96,40
202,53
82,73
89,19
129,98
182,24
110,45
152,22
60,27
91,41
60,86
107,91
67,65
72,81
97,60
80,80
77,81
65,89
75,24
62,26
66,71
66,68
61,98
62,88
81,98
88,02
71,91
80,18
120,36
68,45
76,91
82,53
76,57
102,57
85,14
82,98
205,83
87,56
78,96
81,18
166,95
96,57
120,00
84,26
146,31
74,50
68,82
145,06
65,21
64,81
130,60
93,22
91,20
108,46
106,15
151,56
68,60
70,98
75,04
72,22
103,35
100,56
129,80
85,91
74,37
73,95
81,71
92,84
110,57
67,20
215,46
62,13
78,85
75,43
113,79
142,89
96,54
108,02
67,45
66,15
67,42
84,90
69,90
83,42
62,13
68,68
74,20
125,79
93,06
84,09
91,13
77,59
129,12
83,09
67,87
144,31
121,27
72,91
